1, false
MegaMan, 7, 2
Ceiling, -2010, -649
Ceiling, -1919, -649
Ceiling, -1828, -649
Ceiling, -1737, -649
Ceiling, -1646, -649
Ceiling, -1555, -649
Ceiling, -1464, -649
Ceiling, -1373, -649
Ceiling, -1282, -649
Ceiling, -1191, -649
Ceiling, -1100, -649
Ceiling, -1009, -649
Ceiling, -918, -649
Ceiling, -827, -649
Ceiling, -736, -649
Ceiling, -645, -649
Ceiling, -554, -649
Ceiling, -463, -649
Ceiling, -372, -649
Ceiling, -281, -649
Ceiling, -190, -649
Ceiling, -99, -649
Ceiling, -8, -649
Ceiling, 83, -649
Ceiling, 174, -649
Ceiling, 265, -649
Ceiling, 356, -649
Ceiling, 447, -649
Ceiling, 538, -649
Ceiling, 629, -649
Ceiling, 720, -649
Ceiling, 811, -649
Ceiling, 902, -649
Ceiling, 993, -649
Ceiling, 1084, -649
Ceiling, 1175, -649
Ceiling, 1266, -649
Wall, -463, -620
Wall, -463, -590
Wall, -463, -560
Wall, -463, -530
Wall, -463, -500
Wall, -463, -470
Wall, -463, -440
Wall, -463, -410
Wall, -463, -380
Wall, -463, -350
Wall, -463, -320
Wall, -463, -290
Wall, -463, -260
Wall, -463, -230
Wall, -463, -200
Wall, -463, -170
FlatRock, -2010, -680
FlatRock, -2010, 715
FlatRock, -2010, 746
FlatRock, -2010, 777
FlatRock, -2010, 808
FlatRock, -2010, 839
FlatRock, -1936, -680
FlatRock, -1936, 715
FlatRock, -1936, 746
FlatRock, -1936, 777
FlatRock, -1936, 808
FlatRock, -1936, 839
FlatRock, -1862, -680
FlatRock, -1862, 715
FlatRock, -1862, 746
FlatRock, -1862, 777
FlatRock, -1862, 808
FlatRock, -1862, 839
FlatRock, -1788, -680
FlatRock, -1788, 715
FlatRock, -1788, 746
FlatRock, -1788, 777
FlatRock, -1788, 808
FlatRock, -1788, 839
FlatRock, -1714, -680
FlatRock, -1714, 715
FlatRock, -1714, 746
FlatRock, -1714, 777
FlatRock, -1714, 808
FlatRock, -1714, 839
FlatRock, -1640, -680
FlatRock, -1640, 715
FlatRock, -1640, 746
FlatRock, -1640, 777
FlatRock, -1640, 808
FlatRock, -1640, 839
FlatRock, -1566, -680
FlatRock, -1566, 715
FlatRock, -1566, 746
FlatRock, -1566, 777
FlatRock, -1566, 808
FlatRock, -1566, 839
FlatRock, -1492, -680
FlatRock, -1492, 715
FlatRock, -1492, 746
FlatRock, -1492, 777
FlatRock, -1492, 808
FlatRock, -1492, 839
FlatRock, -1418, -680
FlatRock, -1418, 715
FlatRock, -1418, 746
FlatRock, -1418, 777
FlatRock, -1418, 808
FlatRock, -1418, 839
FlatRock, -1344, -680
FlatRock, -1344, 715
FlatRock, -1344, 746
FlatRock, -1344, 777
FlatRock, -1344, 808
FlatRock, -1344, 839
FlatRock, -1270, -680
FlatRock, -1270, 715
FlatRock, -1270, 746
FlatRock, -1270, 777
FlatRock, -1270, 808
FlatRock, -1270, 839
FlatRock, -1196, -680
FlatRock, -1196, 715
FlatRock, -1196, 746
FlatRock, -1196, 777
FlatRock, -1196, 808
FlatRock, -1196, 839
FlatRock, -1122, -680
FlatRock, -1122, 715
FlatRock, -1122, 746
FlatRock, -1122, 777
FlatRock, -1122, 808
FlatRock, -1122, 839
FlatRock, -1048, -680
FlatRock, -1048, 715
FlatRock, -1048, 746
FlatRock, -1048, 777
FlatRock, -1048, 808
FlatRock, -1048, 839
FlatRock, -974, -680
FlatRock, -974, 715
FlatRock, -974, 746
FlatRock, -974, 777
FlatRock, -974, 808
FlatRock, -974, 839
FlatRock, -900, -680
FlatRock, -900, 715
FlatRock, -900, 746
FlatRock, -900, 777
FlatRock, -900, 808
FlatRock, -900, 839
FlatRock, -826, -680
FlatRock, -826, 715
FlatRock, -826, 746
FlatRock, -826, 777
FlatRock, -826, 808
FlatRock, -826, 839
FlatRock, -752, -680
FlatRock, -752, 715
FlatRock, -752, 746
FlatRock, -752, 777
FlatRock, -752, 808
FlatRock, -752, 839
FlatRock, -678, -680
FlatRock, -678, 715
FlatRock, -678, 746
FlatRock, -678, 777
FlatRock, -678, 808
FlatRock, -678, 839
FlatRock, -604, -680
FlatRock, -604, 715
FlatRock, -604, 746
FlatRock, -604, 777
FlatRock, -604, 808
FlatRock, -604, 839
FlatRock, -530, -680
FlatRock, -530, 715
FlatRock, -530, 746
FlatRock, -530, 777
FlatRock, -530, 808
FlatRock, -530, 839
FlatRock, -456, -680
FlatRock, -456, 715
FlatRock, -456, 746
FlatRock, -456, 777
FlatRock, -456, 808
FlatRock, -456, 839
FlatRock, -382, -680
FlatRock, -382, 715
FlatRock, -382, 746
FlatRock, -382, 777
FlatRock, -382, 808
FlatRock, -382, 839
FlatRock, -308, -680
FlatRock, -308, 715
FlatRock, -308, 746
FlatRock, -308, 777
FlatRock, -308, 808
FlatRock, -308, 839
FlatRock, -234, -680
FlatRock, -234, 715
FlatRock, -234, 746
FlatRock, -234, 777
FlatRock, -234, 808
FlatRock, -234, 839
FlatRock, -160, -680
FlatRock, -160, 715
FlatRock, -160, 746
FlatRock, -160, 777
FlatRock, -160, 808
FlatRock, -160, 839
FlatRock, -86, -680
FlatRock, -86, 715
FlatRock, -86, 746
FlatRock, -86, 777
FlatRock, -86, 808
FlatRock, -86, 839
FlatRock, -12, -680
FlatRock, -12, 715
FlatRock, -12, 746
FlatRock, -12, 777
FlatRock, -12, 808
FlatRock, -12, 839
FlatRock, 62, -680
FlatRock, 62, 715
FlatRock, 62, 746
FlatRock, 62, 777
FlatRock, 62, 808
FlatRock, 62, 839
FlatRock, 136, -680
FlatRock, 136, 715
FlatRock, 136, 746
FlatRock, 136, 777
FlatRock, 136, 808
FlatRock, 136, 839
FlatRock, 210, -680
FlatRock, 210, 715
FlatRock, 210, 746
FlatRock, 210, 777
FlatRock, 210, 808
FlatRock, 210, 839
FlatRock, 284, -680
FlatRock, 284, 715
FlatRock, 284, 746
FlatRock, 284, 777
FlatRock, 284, 808
FlatRock, 284, 839
FlatRock, 358, -680
FlatRock, 358, 715
FlatRock, 358, 746
FlatRock, 358, 777
FlatRock, 358, 808
FlatRock, 358, 839
FlatRock, 432, -680
FlatRock, 432, 715
FlatRock, 432, 746
FlatRock, 432, 777
FlatRock, 432, 808
FlatRock, 432, 839
FlatRock, 506, -680
FlatRock, 506, 715
FlatRock, 506, 746
FlatRock, 506, 777
FlatRock, 506, 808
FlatRock, 506, 839
FlatRock, 580, -680
FlatRock, 580, 715
FlatRock, 580, 746
FlatRock, 580, 777
FlatRock, 580, 808
FlatRock, 580, 839
FlatRock, 654, -680
FlatRock, 654, 715
FlatRock, 654, 746
FlatRock, 654, 777
FlatRock, 654, 808
FlatRock, 654, 839
FlatRock, 728, -680
FlatRock, 728, 715
FlatRock, 728, 746
FlatRock, 728, 777
FlatRock, 728, 808
FlatRock, 728, 839
FlatRock, 802, -680
FlatRock, 802, 715
FlatRock, 802, 746
FlatRock, 802, 777
FlatRock, 802, 808
FlatRock, 802, 839
FlatRock, 876, -680
FlatRock, 876, 715
FlatRock, 876, 746
FlatRock, 876, 777
FlatRock, 876, 808
FlatRock, 876, 839
FlatRock, 950, -680
FlatRock, 950, 715
FlatRock, 950, 746
FlatRock, 950, 777
FlatRock, 950, 808
FlatRock, 950, 839
FlatRock, 1024, -680
FlatRock, 1024, 715
FlatRock, 1024, 746
FlatRock, 1024, 777
FlatRock, 1024, 808
FlatRock, 1024, 839
FlatRock, 1098, -680
FlatRock, 1098, 715
FlatRock, 1098, 746
FlatRock, 1098, 777
FlatRock, 1098, 808
FlatRock, 1098, 839
FlatRock, 1172, -680
FlatRock, 1172, 715
FlatRock, 1172, 746
FlatRock, 1172, 777
FlatRock, 1172, 808
FlatRock, 1172, 839
FlatRock, 1246, -680
FlatRock, 1246, 715
FlatRock, 1246, 746
FlatRock, 1246, 777
FlatRock, 1246, 808
FlatRock, 1246, 839
FlatRock, 1320, -680
FlatRock, 1320, 715
FlatRock, 1320, 746
FlatRock, 1320, 777
FlatRock, 1320, 808
FlatRock, 1320, 839
FlatRock, -2010, -680
FlatRock, -2084, -680
FlatRock, -2158, -680
FlatRock, -2232, -680
FlatRock, -2306, -680
FlatRock, 1394, -680
FlatRock, 1468, -680
FlatRock, 1542, -680
FlatRock, 1616, -680
FlatRock, 1690, -680
FlatRock, 1764, -680
FlatRock, 1838, -680
FlatRock, -2010, -649
FlatRock, -2084, -649
FlatRock, -2158, -649
FlatRock, -2232, -649
FlatRock, -2306, -649
FlatRock, 1394, -649
FlatRock, 1468, -649
FlatRock, 1542, -649
FlatRock, 1616, -649
